ut	airspeed	aoa	drag	density	density_calc	density_calc_precise	temperature	temperature_calc	force_actual	force_predicted	force_predicted_cache
20283.7390861059	212	-179.999336527231	0	1.49276874289485	1.4960371598426	1.49603030583285	273.650488880156	273.728919082676	22.1028086420909	22.1813065286257	71.6291780677787
20284.859086106	210	-179.998398713897	0	1.53863210768843	1.54192849177607	1.54192368883805	274.746077827732	274.824129077283	22.3921796327955	22.4482243473636	72.2782044773405
20285.979086106	208	-179.998629558988	0	1.58488331739855	1.58820322664585	1.5882001482977	275.835658225296	275.913238638854	22.6158529951669	22.6530480912566	72.6597061565227
20287.099086106	206	-179.998366753107	0	1.63145941635166	1.63479900294222	1.63479729315155	276.918186201297	276.995203680147	22.7840844690325	22.8057931288696	72.8162071017742
20288.219086106	204	-179.999417944865	0	1.67830579672724	1.68166166399851	1.68166093911746	277.992767730421	278.069221545045	22.9061193819756	22.9148669815469	72.7862858293678
20289.3390861061	201	-179.999022070954	0	1.72537500582291	1.72874479344701	1.72874464404009	279.058872950623	279.134701221234	22.9897498961253	22.9884633902301	72.6043596011318
20289.8990861061	200	-179.999860672616	0	1.74898073674935	1.75235641636761	1.75235639356195	279.588579053128	279.664063694126	23.0193694502313	23.0138213812091	72.465889026961
20291.0190861061	198	-179.999528030716	0	1.79631200870404	1.79969974462675	1.79969859861833	280.651975648725	280.729492404029	23.0584723487494	23.0459656416044	72.110672496754
20292.1390861061	196	-179.999044210031	0	1.84377822416554	1.84718008749244	1.84717310858652	281.758692417146	281.839466951366	23.0747290401576	23.0569961008688	71.6706972549948
20293.2590861062	193	-179.999378602918	0	1.89133895586688	1.89475583665917	1.89473808686395	282.909880311033	282.993760415293	23.0728343606309	23.051100986788	71.1230620492842
20294.3790861062	191	-179.999347798517	0	1.93895812416284	1.94239450967414	1.94236106889202	284.102419750572	284.189074037313	23.0566693496771	23.0322180717311	70.4852732332225
20295.4990861062	189	-179.99922018351	0	1.98660592559438	1.99006443771084	1.99001042592522	285.333301927806	285.422612069535	23.0295131034468	23.0033079736824	69.8155794111231
20296.6190861062	186	-179.999032335043	0	2.03425711486408	2.03773945459511	2.03766004620614	286.599846028206	286.691601057215	22.9940625006696	22.9668723401957	69.1251530552798
20297.1790861062	185	-179.999029942924	0	2.05807584585153	2.061572648601	2.06147875244432	287.245671487133	287.338595834989	22.9739563336382	22.9464950810928	68.7750827641146
20298.2990861063	183	-179.999470844208	0	2.10568928251467	2.10921564732013	2.10908924676386	288.560942453205	288.656036156626	22.9299992109957	22.9024029148251	68.0700158561354
20299.4190861063	181	-179.999519839796	0	2.15325620555049	2.15681552928949	2.15665199108441	289.905741222153	290.002887565416	22.8825086175206	22.8552977487394	67.3636252547578
20300.5390861063	179	179.999934487127	0	2.20076110687632	2.20435721378403	2.20415199884039	291.277996108248	291.377023437682	22.8328535127105	22.8062232287854	66.6609392974354
20301.6590861063	177	-179.999274494321	0	2.24819113652295	2.25182814678708	2.25157681745646	292.675717208101	292.776488366696	22.7819327443166	22.7563905948833	65.96593093925
20302.7790861064	175	-179.999233999918	0	2.29553756154365	2.29921725192503	2.29891548062518	294.097000247125	294.199401875542	22.7305908238291	22.7062371494522	65.2815411913818
20303.8990861064	173	-179.999428809478	0	2.34278969921127	2.34651729435628	2.34616086661745	295.540164930448	295.644053361851	22.6794938784059	22.65642719576	64.6100448885514
